"Plot Title: 20052699 PILOT"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20052699, SEN S/N: 20052699, LBL: Temp_414a)","RH, % (LGR S/N: 20052699, SEN S/N: 20052699, LBL: RH_414a)","CO2, ppm (LGR S/N: 20052699, SEN S/N: 20052699, LBL: CO2_414a)","Stopped (LGR S/N: 20052699)","End Of File (LGR S/N: 20052699)"
50,01/09/23 01:00:49 PM,69.600,100.000,704,,
51,01/09/23 01:00:50 PM,69.643,100.000,712,,
52,01/09/23 01:00:51 PM,69.600,100.000,720,,
53,01/09/23 01:00:52 PM,69.643,100.000,726,,
54,01/09/23 01:00:53 PM,69.600,100.000,733,,
55,01/09/23 01:00:54 PM,69.643,100.000,736,,
56,01/09/23 01:00:55 PM,69.643,100.000,748,,
57,01/09/23 01:00:56 PM,69.685,100.000,736,,
58,01/09/23 01:00:57 PM,69.600,100.000,736,,
59,01/09/23 01:00:58 PM,69.643,100.000,745,,
60,01/09/23 01:00:59 PM,69.643,100.000,742,,
61,01/09/23 01:01:00 PM,69.600,100.000,753,,
62,01/09/23 01:01:01 PM,69.643,100.000,753,,
63,01/09/23 01:01:02 PM,69.643,100.000,753,,
64,01/09/23 01:01:03 PM,69.643,100.000,753,,
65,01/09/23 01:01:04 PM,69.643,100.000,756,,
66,01/09/23 01:01:05 PM,69.685,100.000,750,,
67,01/09/23 01:01:06 PM,69.643,100.000,750,,
68,01/09/23 01:01:07 PM,69.643,100.000,742,,
69,01/09/23 01:01:08 PM,69.643,100.000,753,,
70,01/09/23 01:01:09 PM,69.643,100.000,753,,
71,01/09/23 01:01:10 PM,69.643,100.000,745,,
72,01/09/23 01:01:11 PM,69.685,100.000,750,,
73,01/09/23 01:01:12 PM,69.643,100.000,745,,
74,01/09/23 01:01:13 PM,69.685,100.000,739,,
75,01/09/23 01:01:14 PM,69.643,100.000,739,,
76,01/09/23 01:01:15 PM,69.643,100.000,733,,
77,01/09/23 01:01:16 PM,69.643,100.000,728,,
78,01/09/23 01:01:17 PM,69.685,100.000,731,,
79,01/09/23 01:01:18 PM,69.643,100.000,728,,
80,01/09/23 01:01:19 PM,69.643,100.000,722,,
81,01/09/23 01:01:20 PM,69.600,100.000,725,,
82,01/09/23 01:01:21 PM,69.643,100.000,711,,
83,01/09/23 01:01:22 PM,69.685,100.000,701,,
84,01/09/23 01:01:23 PM,69.643,100.000,695,,
85,01/09/23 01:01:24 PM,69.643,100.000,689,,
86,01/09/23 01:01:25 PM,69.643,100.000,687,,
87,01/09/23 01:01:26 PM,69.643,100.000,687,,
88,01/09/23 01:01:27 PM,69.643,100.000,681,,
89,01/09/23 01:01:28 PM,69.643,100.000,684,,
90,01/09/23 01:01:29 PM,69.643,100.000,687,,
91,01/09/23 01:01:30 PM,69.557,100.000,692,,
92,01/09/23 01:01:31 PM,69.643,100.000,692,,
93,01/09/23 01:01:32 PM,69.643,100.000,689,,
94,01/09/23 01:01:33 PM,69.685,100.000,692,,
95,01/09/23 01:01:34 PM,69.643,100.000,687,,
96,01/09/23 01:01:35 PM,69.600,100.000,687,,
97,01/09/23 01:01:36 PM,69.643,100.000,687,,
98,01/09/23 01:01:37 PM,69.600,100.000,681,,
99,01/09/23 01:01:38 PM,69.643,100.000,681,,
100,01/09/23 01:01:39 PM,69.600,100.000,676,,
101,01/09/23 01:01:40 PM,69.685,100.000,676,,
102,01/09/23 01:01:41 PM,69.685,100.000,668,,
103,01/09/23 01:01:42 PM,69.685,100.000,668,,
104,01/09/23 01:01:43 PM,69.643,100.000,668,,
105,01/09/23 01:01:44 PM,69.643,100.000,668,,
106,01/09/23 01:01:45 PM,69.643,100.000,665,,
107,01/09/23 01:01:46 PM,69.643,100.000,660,,
108,01/09/23 01:01:47 PM,69.643,100.000,654,,
109,01/09/23 01:01:48 PM,69.643,100.000,652,,
110,01/09/23 01:01:49 PM,69.643,100.000,654,,
111,01/09/23 01:01:50 PM,69.643,100.000,660,,
112,01/09/23 01:01:51 PM,69.643,100.000,657,,
113,01/09/23 01:01:52 PM,69.643,100.000,657,,
114,01/09/23 01:01:53 PM,69.728,100.000,657,,
115,01/09/23 01:01:54 PM,69.643,100.000,652,,
116,01/09/23 01:01:55 PM,69.643,100.000,646,,
117,01/09/23 01:01:56 PM,69.685,100.000,646,,
118,01/09/23 01:01:57 PM,69.600,100.000,641,,
119,01/09/23 01:01:58 PM,69.600,100.000,646,,
120,01/09/23 01:01:59 PM,69.643,100.000,641,,
121,01/09/23 01:02:00 PM,69.600,100.000,639,,
122,01/09/23 01:02:01 PM,69.685,100.000,639,,
123,01/09/23 01:02:02 PM,69.643,100.000,636,,
124,01/09/23 01:02:03 PM,69.600,100.000,636,,
125,01/09/23 01:02:04 PM,69.643,100.000,639,,
126,01/09/23 01:02:05 PM,69.643,100.000,636,,
127,01/09/23 01:02:06 PM,69.643,100.000,641,,
128,01/09/23 01:02:07 PM,69.600,100.000,633,,
129,01/09/23 01:02:08 PM,69.643,100.000,636,,
130,01/09/23 01:02:09 PM,69.685,100.000,639,,
131,01/09/23 01:02:10 PM,69.685,100.000,641,,
132,01/09/23 01:02:11 PM,69.685,100.000,633,,
133,01/09/23 01:02:12 PM,69.685,100.000,625,,
134,01/09/23 01:02:13 PM,69.643,100.000,620,,
135,01/09/23 01:02:14 PM,69.728,100.000,620,,
136,01/09/23 01:02:15 PM,69.685,100.000,623,,
137,01/09/23 01:02:16 PM,69.643,100.000,623,,
138,01/09/23 01:02:17 PM,69.643,100.000,620,,
139,01/09/23 01:02:18 PM,69.643,100.000,617,,
140,01/09/23 01:02:19 PM,69.643,100.000,623,,
141,01/09/23 01:02:20 PM,69.685,100.000,620,,
142,01/09/23 01:02:21 PM,69.643,100.000,617,,
143,01/09/23 01:02:22 PM,69.643,100.000,620,,
144,01/09/23 01:02:23 PM,69.600,100.000,623,,
145,01/09/23 01:02:24 PM,69.643,100.000,617,,
146,01/09/23 01:02:25 PM,69.728,100.000,620,,
147,01/09/23 01:02:26 PM,69.643,100.000,609,,
148,01/09/23 01:02:27 PM,69.643,100.000,595,,
149,01/09/23 01:02:28 PM,69.685,100.000,590,,
150,01/09/23 01:02:29 PM,69.643,100.000,590,,
151,01/09/23 01:02:30 PM,69.600,100.000,588,,
152,01/09/23 01:02:31 PM,69.643,100.000,580,,
153,01/09/23 01:02:32 PM,69.643,100.000,573,,
154,01/09/23 01:02:33 PM,69.685,100.000,563,,
155,01/09/23 01:02:34 PM,69.685,100.000,568,,
156,01/09/23 01:02:35 PM,69.643,100.000,570,,
157,01/09/23 01:02:36 PM,69.643,100.000,573,,
158,01/09/23 01:02:37 PM,69.685,100.000,578,,
159,01/09/23 01:02:38 PM,69.643,100.000,585,,
160,01/09/23 01:02:39 PM,69.643,100.000,583,,
161,01/09/23 01:02:40 PM,69.643,100.000,580,,
162,01/09/23 01:02:41 PM,69.643,100.000,590,,
163,01/09/23 01:02:42 PM,69.685,100.000,590,,
164,01/09/23 01:02:43 PM,69.643,100.000,588,,
165,01/09/23 01:02:44 PM,69.643,100.000,595,,
166,01/09/23 01:02:45 PM,69.600,100.000,598,,
167,01/09/23 01:02:46 PM,69.685,100.000,607,,
168,01/09/23 01:02:47 PM,69.685,100.000,615,,
169,01/09/23 01:02:48 PM,69.685,100.000,623,,
170,01/09/23 01:02:49 PM,69.643,100.000,639,,
171,01/09/23 01:02:50 PM,69.643,100.000,646,,
172,01/09/23 01:02:51 PM,69.643,100.000,646,,
173,01/09/23 01:02:52 PM,69.643,100.000,649,,
174,01/09/23 01:02:53 PM,69.600,100.000,657,,
175,01/09/23 01:02:54 PM,69.643,100.000,660,,
176,01/09/23 01:02:55 PM,69.685,100.000,662,,
177,01/09/23 01:02:56 PM,69.643,100.000,665,,
178,01/09/23 01:02:57 PM,69.643,100.000,676,,
179,01/09/23 01:02:58 PM,69.728,100.000,684,,
180,01/09/23 01:02:59 PM,69.643,100.000,689,,
181,01/09/23 01:03:00 PM,69.643,100.000,695,,
182,01/09/23 01:03:01 PM,69.600,100.000,695,,
183,01/09/23 01:03:02 PM,69.643,100.000,698,,
184,01/09/23 01:03:03 PM,69.643,100.000,706,,
185,01/09/23 01:03:04 PM,69.643,100.000,706,,
186,01/09/23 01:03:05 PM,69.643,100.000,718,,
187,01/09/23 01:03:06 PM,69.643,100.000,720,,
188,01/09/23 01:03:07 PM,69.728,100.000,723,,
189,01/09/23 01:03:08 PM,69.600,100.000,728,,
190,01/09/23 01:03:09 PM,69.600,100.000,731,,
191,01/09/23 01:03:10 PM,69.685,100.000,731,,
192,01/09/23 01:03:11 PM,69.643,100.000,739,,
193,01/09/23 01:03:12 PM,69.643,100.000,745,,
194,01/09/23 01:03:13 PM,69.643,100.000,742,,
195,01/09/23 01:03:14 PM,69.685,100.000,739,,
196,01/09/23 01:03:15 PM,69.600,100.000,750,,
197,01/09/23 01:03:16 PM,69.643,100.000,742,,
198,01/09/23 01:03:17 PM,69.600,100.000,736,,
199,01/09/23 01:03:18 PM,69.643,100.000,733,,
200,01/09/23 01:03:19 PM,69.643,100.000,736,,
201,01/09/23 01:03:20 PM,69.643,100.000,742,,
202,01/09/23 01:03:21 PM,69.643,100.000,756,,
203,01/09/23 01:03:22 PM,69.643,100.000,759,,
204,01/09/23 01:03:23 PM,69.643,100.000,762,,
205,01/09/23 01:03:24 PM,69.643,100.000,762,,
206,01/09/23 01:03:25 PM,69.643,100.000,764,,
207,01/09/23 01:03:26 PM,69.643,100.000,762,,
208,01/09/23 01:03:27 PM,69.643,100.000,756,,
209,01/09/23 01:03:28 PM,69.643,100.000,756,,
210,01/09/23 01:03:29 PM,69.643,100.000,756,,
211,01/09/23 01:03:30 PM,69.643,100.000,750,,
212,01/09/23 01:03:31 PM,69.643,100.000,750,,
213,01/09/23 01:03:32 PM,69.600,100.000,750,,
214,01/09/23 01:03:33 PM,69.643,100.000,745,,
215,01/09/23 01:03:34 PM,69.643,100.000,728,,
216,01/09/23 01:03:35 PM,69.643,100.000,728,,
217,01/09/23 01:03:36 PM,69.600,100.000,720,,
218,01/09/23 01:03:37 PM,69.600,100.000,733,,
219,01/09/23 01:03:38 PM,69.600,100.000,739,,
220,01/09/23 01:03:39 PM,69.557,100.000,745,,
221,01/09/23 01:03:40 PM,69.643,100.000,736,,
222,01/09/23 01:03:41 PM,69.685,100.000,728,,
223,01/09/23 01:03:42 PM,69.643,100.000,723,,
224,01/09/23 01:03:43 PM,69.643,100.000,723,,
225,01/09/23 01:03:44 PM,69.643,100.000,723,,
226,01/09/23 01:03:45 PM,69.600,100.000,720,,
227,01/09/23 01:03:46 PM,69.643,100.000,723,,
228,01/09/23 01:03:47 PM,69.643,100.000,720,,
229,01/09/23 01:03:48 PM,69.685,100.000,720,,
230,01/09/23 01:03:49 PM,69.643,100.000,718,,
231,01/09/23 01:03:50 PM,69.643,100.000,712,,
232,01/09/23 01:03:51 PM,69.600,100.000,715,,
233,01/09/23 01:03:52 PM,69.600,100.000,718,,
234,01/09/23 01:03:53 PM,69.685,100.000,726,,
235,01/09/23 01:03:54 PM,69.600,100.000,726,,
236,01/09/23 01:03:55 PM,69.643,100.000,728,,
237,01/09/23 01:03:56 PM,69.643,100.000,736,,
238,01/09/23 01:03:57 PM,69.600,100.000,733,,
239,01/09/23 01:03:58 PM,69.643,100.000,739,,
240,01/09/23 01:03:59 PM,69.643,100.000,731,,
241,01/09/23 01:04:00 PM,69.600,100.000,728,,
242,01/09/23 01:04:01 PM,69.600,100.000,726,,
243,01/09/23 01:04:02 PM,69.685,100.000,726,,
244,01/09/23 01:04:03 PM,69.685,100.000,718,,
245,01/09/23 01:04:04 PM,69.643,100.000,718,,
246,01/09/23 01:04:05 PM,69.643,100.000,720,,
247,01/09/23 01:04:06 PM,69.600,100.000,718,,
248,01/09/23 01:04:07 PM,69.643,100.000,712,,
249,01/09/23 01:04:08 PM,69.600,100.000,712,,
250,01/09/23 01:04:09 PM,69.685,100.000,706,,
251,01/09/23 01:04:10 PM,69.643,100.000,712,,
252,01/09/23 01:04:11 PM,69.600,100.000,715,,
253,01/09/23 01:04:12 PM,69.643,100.000,706,,
254,01/09/23 01:04:13 PM,69.643,100.000,706,,
255,01/09/23 01:04:14 PM,69.643,100.000,715,,
256,01/09/23 01:04:15 PM,69.643,100.000,720,,
257,01/09/23 01:04:16 PM,69.600,100.000,712,,
258,01/09/23 01:04:17 PM,69.643,100.000,718,,
259,01/09/23 01:04:18 PM,69.643,100.000,712,,
260,01/09/23 01:04:19 PM,69.600,100.000,715,,
261,01/09/23 01:04:20 PM,69.643,100.000,715,,
262,01/09/23 01:04:21 PM,69.643,100.000,715,,
263,01/09/23 01:04:22 PM,69.643,100.000,712,,
264,01/09/23 01:04:23 PM,69.600,100.000,704,,
265,01/09/23 01:04:24 PM,69.643,100.000,692,,
266,01/09/23 01:04:25 PM,69.600,100.000,687,,
267,01/09/23 01:04:26 PM,69.600,100.000,684,,
268,01/09/23 01:04:27 PM,69.643,100.000,695,,
269,01/09/23 01:04:28 PM,69.643,100.000,701,,
270,01/09/23 01:04:29 PM,69.600,100.000,692,,
271,01/09/23 01:04:30 PM,69.600,100.000,695,,
272,01/09/23 01:04:31 PM,69.643,100.000,689,,
273,01/09/23 01:04:32 PM,69.685,100.000,687,,
274,01/09/23 01:04:33 PM,69.685,100.000,684,,
275,01/09/23 01:04:34 PM,69.685,100.000,684,,
276,01/09/23 01:04:35 PM,69.600,100.000,684,,
277,01/09/23 01:04:36 PM,69.685,100.000,684,,
278,01/09/23 01:04:37 PM,69.643,100.000,678,,
279,01/09/23 01:04:38 PM,69.643,100.000,676,,
280,01/09/23 01:04:39 PM,69.600,100.000,676,,
281,01/09/23 01:04:40 PM,69.600,100.000,668,,
282,01/09/23 01:04:41 PM,69.643,100.000,665,,
283,01/09/23 01:04:42 PM,69.643,100.000,668,,
284,01/09/23 01:04:43 PM,69.685,100.000,668,,
285,01/09/23 01:04:44 PM,69.685,100.000,660,,
286,01/09/23 01:04:45 PM,69.600,100.000,657,,
287,01/09/23 01:04:46 PM,69.685,100.000,662,,
288,01/09/23 01:04:47 PM,69.643,100.000,662,,
289,01/09/23 01:04:48 PM,69.643,100.000,665,,
290,01/09/23 01:04:49 PM,69.643,100.000,654,,
291,01/09/23 01:04:50 PM,69.643,100.000,652,,
292,01/09/23 01:04:51 PM,69.643,100.000,652,,
293,01/09/23 01:04:52 PM,69.643,100.000,654,,
294,01/09/23 01:04:53 PM,69.643,100.000,646,,
295,01/09/23 01:04:54 PM,69.643,100.000,641,,
296,01/09/23 01:04:55 PM,69.643,100.000,631,,
297,01/09/23 01:04:56 PM,69.643,100.000,623,,
298,01/09/23 01:04:57 PM,69.685,100.000,631,,
299,01/09/23 01:04:58 PM,69.643,100.000,636,,
300,01/09/23 01:04:59 PM,69.643,100.000,631,,
301,01/09/23 01:05:00 PM,69.600,100.000,625,,
302,01/09/23 01:05:01 PM,69.643,100.000,623,,
303,01/09/23 01:05:02 PM,69.685,100.000,623,,
304,01/09/23 01:05:03 PM,69.728,100.000,625,,
305,01/09/23 01:05:04 PM,69.643,100.000,631,,
306,01/09/23 01:05:05 PM,69.685,100.000,625,,
307,01/09/23 01:05:06 PM,69.643,100.000,617,,
308,01/09/23 01:05:07 PM,69.728,100.000,617,,
309,01/09/23 01:05:08 PM,69.600,100.000,620,,
310,01/09/23 01:05:09 PM,69.685,100.000,617,,
311,01/09/23 01:05:10 PM,69.643,100.000,615,,
312,01/09/23 01:05:11 PM,69.685,100.000,612,,
313,01/09/23 01:05:12 PM,69.643,100.000,615,,
314,01/09/23 01:05:13 PM,69.685,100.000,609,,
315,01/09/23 01:05:14 PM,69.685,100.000,623,,
316,01/09/23 01:05:15 PM,69.600,100.000,617,,
317,01/09/23 01:05:16 PM,69.643,100.000,612,,
318,01/09/23 01:05:17 PM,69.685,100.000,617,,
319,01/09/23 01:05:18 PM,69.643,100.000,615,,
320,01/09/23 01:05:19 PM,69.685,100.000,609,,
321,01/09/23 01:05:20 PM,69.643,100.000,603,,
322,01/09/23 01:05:21 PM,69.685,100.000,607,,
323,01/09/23 01:05:22 PM,69.685,100.000,609,,
324,01/09/23 01:05:23 PM,69.685,100.000,615,,
325,01/09/23 01:05:24 PM,69.685,100.000,615,,
326,01/09/23 01:05:25 PM,69.643,100.000,607,,
327,01/09/23 01:05:26 PM,69.600,100.000,609,,
328,01/09/23 01:05:27 PM,69.685,100.000,617,,
329,01/09/23 01:05:28 PM,69.685,100.000,617,,
330,01/09/23 01:05:29 PM,69.685,100.000,612,,
331,01/09/23 01:05:30 PM,69.643,100.000,609,,
332,01/09/23 01:05:31 PM,69.728,100.000,607,,
333,01/09/23 01:05:32 PM,69.685,100.000,600,,
334,01/09/23 01:05:33 PM,69.685,100.000,607,,
335,01/09/23 01:05:34 PM,69.685,100.000,609,,
336,01/09/23 01:05:35 PM,69.728,100.000,603,,
337,01/09/23 01:05:36 PM,69.728,100.000,600,,
338,01/09/23 01:05:37 PM,69.685,100.000,598,,
339,01/09/23 01:05:38 PM,69.685,100.000,603,,
340,01/09/23 01:05:39 PM,69.685,100.000,603,,
341,01/09/23 01:05:40 PM,69.685,100.000,600,,
342,01/09/23 01:05:41 PM,69.643,100.000,595,,
343,01/09/23 01:05:42 PM,69.685,100.000,588,,
344,01/09/23 01:05:43 PM,69.685,100.000,580,,
345,01/09/23 01:05:44 PM,69.685,100.000,580,,
346,01/09/23 01:05:45 PM,69.685,100.000,583,,
347,01/09/23 01:05:46 PM,69.685,100.000,585,,
348,01/09/23 01:05:47 PM,69.685,100.000,588,,
349,01/09/23 01:05:48 PM,69.728,100.000,595,,
350,01/09/23 01:05:49 PM,69.643,100.000,600,,
351,01/09/23 01:05:50 PM,69.685,100.000,600,,
352,01/09/23 01:05:51 PM,69.685,100.000,598,,
353,01/09/23 01:05:52 PM,69.728,100.000,595,,
354,01/09/23 01:05:53 PM,69.685,100.000,588,,
355,01/09/23 01:05:54 PM,69.685,100.000,588,,
356,01/09/23 01:05:55 PM,69.685,100.000,585,,
357,01/09/23 01:05:56 PM,69.685,100.000,585,,
358,01/09/23 01:05:57 PM,69.685,100.000,578,,
359,01/09/23 01:05:58 PM,69.685,100.000,573,,
360,01/09/23 01:05:59 PM,69.685,100.000,568,,
361,01/09/23 01:06:00 PM,69.685,100.000,568,,
362,01/09/23 01:06:01 PM,69.643,100.000,566,,
363,01/09/23 01:06:02 PM,69.728,100.000,556,,
364,01/09/23 01:06:03 PM,69.728,100.000,561,,
365,01/09/23 01:06:04 PM,69.728,100.000,556,,
366,01/09/23 01:06:05 PM,69.728,100.000,556,,
367,01/09/23 01:06:06 PM,69.685,100.000,549,,
368,01/09/23 01:06:07 PM,69.728,100.000,544,,
369,01/09/23 01:06:08 PM,69.685,100.000,539,,
370,01/09/23 01:06:09 PM,69.685,100.000,536,,
371,01/09/23 01:06:10 PM,69.685,100.000,539,,
372,01/09/23 01:06:11 PM,69.728,100.000,541,,
373,01/09/23 01:06:12 PM,69.728,100.000,544,,
374,01/09/23 01:06:13 PM,69.728,100.000,541,,
375,01/09/23 01:06:14 PM,69.685,100.000,539,,
376,01/09/23 01:06:15 PM,69.685,100.000,544,,
377,01/09/23 01:06:16 PM,69.685,100.000,549,,
378,01/09/23 01:06:17 PM,69.685,100.000,556,,
379,01/09/23 01:06:18 PM,69.728,100.000,558,,
380,01/09/23 01:06:19 PM,69.728,100.000,558,,
381,01/09/23 01:06:20 PM,69.643,100.000,556,,
382,01/09/23 01:06:21 PM,69.728,100.000,551,,
383,01/09/23 01:06:22 PM,69.728,100.000,551,,
384,01/09/23 01:06:23 PM,69.685,100.000,551,,
385,01/09/23 01:06:24 PM,69.685,100.000,544,,
386,01/09/23 01:06:25 PM,69.685,100.000,544,,
387,01/09/23 01:06:26 PM,69.685,100.000,549,,
388,01/09/23 01:06:27 PM,69.771,100.000,554,,
389,01/09/23 01:06:28 PM,69.728,100.000,554,,
390,01/09/23 01:06:29 PM,69.685,100.000,551,,
391,01/09/23 01:06:30 PM,69.685,100.000,541,,
392,01/09/23 01:06:31 PM,69.728,100.000,536,,
393,01/09/23 01:06:32 PM,69.728,100.000,541,,
394,01/09/23 01:06:33 PM,69.728,100.000,536,,
395,01/09/23 01:06:34 PM,69.685,100.000,534,,
396,01/09/23 01:06:35 PM,69.643,100.000,529,,
397,01/09/23 01:06:36 PM,69.771,100.000,524,,
398,01/09/23 01:06:37 PM,69.685,100.000,524,,
399,01/09/23 01:06:38 PM,69.728,100.000,521,,
400,01/09/23 01:06:39 PM,69.728,100.000,516,,
401,01/09/23 01:06:40 PM,69.685,100.000,516,,
402,01/09/23 01:06:41 PM,69.728,100.000,519,,
403,01/09/23 01:06:42 PM,69.771,100.000,516,,
404,01/09/23 01:06:43 PM,69.771,100.000,516,,
405,01/09/23 01:06:44 PM,69.685,100.000,521,,
406,01/09/23 01:06:45 PM,69.685,100.000,524,,
407,01/09/23 01:06:46 PM,69.728,100.000,524,,
408,01/09/23 01:06:47 PM,69.771,100.000,519,,
409,01/09/23 01:06:48 PM,69.771,100.000,519,,
410,01/09/23 01:06:49 PM,69.728,100.000,524,,
411,01/09/23 01:06:50 PM,69.728,100.000,526,,
412,01/09/23 01:06:51 PM,69.685,100.000,529,,
413,01/09/23 01:06:52 PM,69.728,100.000,534,,
414,01/09/23 01:06:53 PM,69.728,100.000,524,,
415,01/09/23 01:06:54 PM,69.728,100.000,536,,
416,01/09/23 01:06:55 PM,69.771,100.000,538,,
417,01/09/23 01:06:56 PM,69.728,100.000,536,,
418,01/09/23 01:06:57 PM,69.771,100.000,536,,
419,01/09/23 01:06:58 PM,69.728,100.000,529,,
420,01/09/23 01:06:59 PM,69.685,100.000,524,,
421,01/09/23 01:07:00 PM,69.643,100.000,529,,
422,01/09/23 01:07:01 PM,69.771,100.000,524,,
423,01/09/23 01:07:02 PM,69.728,100.000,516,,
424,01/09/23 01:07:03 PM,69.771,100.000,509,,
425,01/09/23 01:07:04 PM,69.728,100.000,516,,
426,01/09/23 01:07:05 PM,69.771,100.000,516,,
427,01/09/23 01:07:06 PM,69.771,100.000,516,,
428,01/09/23 01:07:07 PM,69.728,100.000,509,,
429,01/09/23 01:07:08 PM,69.771,100.000,504,,
430,01/09/23 01:07:09 PM,69.771,100.000,502,,
431,01/09/23 01:07:10 PM,69.728,100.000,497,,
432,01/09/23 01:07:11 PM,69.728,100.000,488,,
433,01/09/23 01:07:12 PM,69.771,100.000,490,,
434,01/09/23 01:07:13 PM,69.771,100.000,488,,
435,01/09/23 01:07:14 PM,69.771,100.000,483,,
436,01/09/23 01:07:15 PM,69.685,100.000,481,,
437,01/09/23 01:07:16 PM,69.728,100.000,481,,
438,01/09/23 01:07:17 PM,69.771,100.000,488,,
439,01/09/23 01:07:18 PM,69.728,100.000,481,,
440,01/09/23 01:07:19 PM,69.728,100.000,479,,
441,01/09/23 01:07:20 PM,69.728,100.000,481,,
442,01/09/23 01:07:21 PM,69.771,100.000,476,,
443,01/09/23 01:07:22 PM,69.728,100.000,474,,
444,01/09/23 01:07:23 PM,69.814,100.000,476,,
445,01/09/23 01:07:24 PM,69.771,100.000,476,,
446,01/09/23 01:07:25 PM,69.728,100.000,476,,
447,01/09/23 01:07:26 PM,69.728,100.000,476,,
448,01/09/23 01:07:27 PM,69.771,100.000,476,,
449,01/09/23 01:07:28 PM,69.771,100.000,476,,
450,01/09/23 01:07:29 PM,69.728,100.000,476,,
451,01/09/23 01:07:30 PM,69.728,100.000,474,,
452,01/09/23 01:07:31 PM,69.771,100.000,479,,
453,01/09/23 01:07:32 PM,69.728,100.000,479,,
454,01/09/23 01:07:33 PM,69.771,100.000,476,,
455,01/09/23 01:07:34 PM,69.771,100.000,476,,
456,01/09/23 01:07:35 PM,69.771,100.000,479,,
457,01/09/23 01:07:36 PM,69.771,100.000,474,,
458,01/09/23 01:07:37 PM,69.771,100.000,476,,
459,01/09/23 01:07:38 PM,69.728,100.000,471,,
460,01/09/23 01:07:39 PM,69.814,100.000,471,,
461,01/09/23 01:07:40 PM,69.814,100.000,471,,
462,01/09/23 01:07:41 PM,69.771,100.000,471,,
463,01/09/23 01:07:42 PM,69.771,100.000,471,,
464,01/09/23 01:07:43 PM,69.771,100.000,467,,
465,01/09/23 01:07:44 PM,69.814,100.000,464,,
466,01/09/23 01:07:45 PM,69.685,100.000,474,,
467,01/09/23 01:07:46 PM,69.728,100.000,474,,
468,01/09/23 01:07:47 PM,69.771,100.000,474,,
469,01/09/23 01:07:48 PM,69.728,100.000,479,,
